index,Llamadas_Inbound,Llamadas_Outbound,Total_Llamadas,outbound_share,days_active,inbound_total,missed_rate,Tiempo_Espera_Promedio,Promedio_Outbound_Diario,Rol_Operador,Indicador_Ineficiencia,Duracion_Llamada_Promedio,user_id,Plan_Tarifario
0,58,872,930,0.9376344086021505,50.0,58.0,0.0,13.198924731182796,17.44,Outbound,Eficaz,545.8290598290598,166406,B
1,104,7209,7313,0.9857787501709285,84.0,104.0,0.0,14.207165322029264,85.82142857142857,Outbound,Eficaz,1133.8810572687225,166406,B
2,7,38,45,0.8444444444444444,14.0,7.0,0.0,6.222222222222222,2.7142857142857144,Outbound,Ineficaz,112.25,166377,B
3,8,189,197,0.9593908629441624,42.0,8.0,0.0,19.17766497461929,4.5,Outbound,Eficaz,216.38571428571427,166377,B
4,24,2208,2232,0.989247311827957,77.0,24.0,0.0,9.946236559139784,28.675324675324674,Outbound,Eficaz,842.4505494505495,166377,B
5,63,2497,2560,0.975390625,78.0,63.0,0.0,16.584375,32.01282051282051,Outbound,Eficaz,726.7524752475248,166377,B
6,0,47,47,1.0,7.0,0.0,,12.085106382978724,6.714285714285714,Outbound,Eficaz,320.6666666666667,166406,B
7,0,20,20,1.0,5.0,0.0,,3.9,4.0,Outbound,Eficaz,58.125,166377,B
8,3,0,3,0.0,3.0,3.0,0.0,31.666666666666668,0.0,Inbound,Eficaz,64.0,166391,C
9,3,1,4,0.25,1.0,3.0,0.0,20.75,1.0,Inbound,Eficaz,22.666666666666668,166391,C
10,99,0,99,0.0,40.0,99.0,0.030303030303030304,16.07070707070707,0.0,Inbound,Eficaz,142.02325581395348,166428,B
11,613,661,1274,0.5188383045525903,61.0,613.0,0.0065252854812398045,15.53061224489796,10.836065573770492,Mixed,Eficaz,1407.2987012987012,166405,B
12,766,2884,3650,0.7901369863013699,80.0,766.0,0.007832898172323759,17.7213698630137,36.05,Outbound,Eficaz,1635.7901785714287,166405,B
13,15,43,58,0.7413793103448276,4.0,15.0,0.0,24.379310344827587,10.75,Outbound,Eficaz,646.6666666666666,166405,B
14,171,1417,1588,0.8923173803526449,22.0,171.0,0.011695906432748537,23.079974811083122,64.4090909090909,Outbound,Eficaz,2104.253968253968,166405,B
15,0,2,2,1.0,1.0,0.0,,7.5,2.0,Outbound,Ineficaz,0.0,166507,C
16,0,1,1,1.0,1.0,0.0,,10.0,1.0,Outbound,Ineficaz,70.0,166507,C
17,6,632,638,0.9905956112852664,16.0,6.0,0.0,17.0423197492163,39.5,Outbound,Eficaz,599.1388888888889,166495,B
18,77,2030,2107,0.9634551495016611,57.0,77.0,0.0,13.401044138585666,35.6140350877193,Outbound,Eficaz,937.1140939597316,166495,B
19,1,0,1,0.0,1.0,1.0,0.0,6.0,0.0,Inbound,Eficaz,5.0,166481,A
20,0,4,4,1.0,1.0,0.0,,18.25,4.0,Outbound,Eficaz,71.33333333333333,166503,B
21,0,3,3,1.0,1.0,0.0,,23.666666666666668,3.0,Outbound,Ineficaz,4.0,166503,B
